,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,ESTU_PRIVADO_LIBERTAD,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION.E
419002,CC,COLOMBIA,M,11/02/1989,SB11201820496035,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,MÁS DE 100 LIBROS,Más de 2 horas,No Navega Internet,709964,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA - SEDE PRINCIPAL,S,URBANO,SABATINA,17653,SALAMINA,N,33,2,1,26,2,1,39,17,1,37,19,1,38,13,A-,170,4,2,37.56996701,NSE1,PUBLICAR,NO
419043,TI,COLOMBIA,M,12/02/2001,SB11201820446986,COLOMBIA,No,Estrato 1,3 a 4,No,Si,Si,26 A 100 LIBROS,No leo por entretenimiento,No Navega Internet,6734,INSTITUCION EDUCATIVA RIOSUCIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA RIOSUCIO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17614,RIOSUCIO,N,65,89,3,64,88,3,60,83,3,51,60,2,68,92,B1,303,84,2,43.24331578,NSE2,PUBLICAR,NO
419054,TI,COLOMBIA,M,19/10/1999,SB11201820355402,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,5900,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI,S,URBANO,MAÑANA,17001,MANIZALES,N,43,18,2,41,23,2,36,10,1,29,4,1,40,18,A-,187,10,2,56.64098102,NSE3,PUBLICAR,NO
419086,TI,COLOMBIA,F,12/10/2002,SB11201820376751,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,128892,INSTITUCION EDUCATIVA ISAZA,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA ISAZA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17867,VICTORIA,N,50,40,2,53,59,3,55,69,2,50,57,2,43,27,A-,257,56,2,40.33069515,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
419137,TI,COLOMBIA,F,03/03/2002,SB11201820517730,COLOMBIA,No,Estrato 4,1 a 2,Si,Si,Si,0 A 10 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,29900,INSTITUCIÓN EDUCATIVA VILLA DEL PILAR,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA VILLA DEL PILAR,S,URBANO,MAÑANA,17001,MANIZALES,N,66,90,4,49,48,2,62,88,3,68,95,3,63,86,A2,307,85,2,61.26139497,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
419210,CC,COLOMBIA,F,04/02/2000,SB11201820307412,COLOMBIA,No,Estrato 2,3 a 4,No,No,No,11 A 25 LIBROS,Entre 1 y 2 horas,30 minutos o menos,6262,INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17013,AGUADAS,N,48,35,2,39,19,2,40,21,1,36,18,1,34,6,A-,201,18,2,38.69361921,NSE1,PUBLICAR,NO
419255,TI,COLOMBIA,F,18/06/2000,SB11201820174285,COLOMBIA,No,Estrato 1,7 a 8,Si,Si,No,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,116996,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,S,URBANO,MAÑANA,17001,MANIZALES,N,54,55,3,44,33,2,41,25,2,44,41,2,47,40,A-,229,37,2,45.96524831,NSE2,PUBLICAR,NO
419300,TI,COLOMBIA,M,16/01/2002,SB11201820184193,COLOMBIA,Si,Estrato 2,3 a 4,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,120709,COLEGIO GABRIELA MISTRAL,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COLEGIO GABRIELA MISTRAL,S,URBANO,TARDE,17380,LA DORADA,N,50,41,2,44,30,2,34,6,1,36,18,1,42,23,A-,205,20,3,49.3556177,NSE2,PUBLICAR,NO
419399,TI,COLOMBIA,F,17/06/2002,SB11201820016126,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,No,MÁS DE 100 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,6189,NORMAL SUP. DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,NORMAL SUPERIOR DE CALDAS,S,URBANO,MAÑANA,17001,MANIZALES,N,71,97,4,50,49,2,58,79,3,43,37,2,69,93,B1,283,73,3,46.50934915,NSE2,PUBLICAR,NO
419406,CC,COLOMBIA,F,22/07/1988,SB11201820614402,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,84764,INSTITUCION EDUCATIVA COLOMBIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA COLOMBIA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17873,VILLAMARÍA,N,36,4,2,27,3,1,40,20,1,38,21,1,44,29,A-,180,7,2,51.58258618,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
419448,TI,COLOMBIA,F,18/12/2001,SB11201820485030,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Más de 3 horas,125658,INSTITUCION EDUCATIVA SAN PEDRO CLAVER,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA SAN PEDRO CLAVER - SEDE PRINCIPAL,S,URBANO,MAÑANA,17873,VILLAMARÍA,N,49,39,2,52,56,3,44,33,2,37,20,1,54,65,A1,231,38,3,62.44498258,NSE3,PUBLICAR,NO
419466,TI,COLOMBIA,F,14/10/2001,SB11201820096882,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,6684,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION - SEDE PRINCIPAL,S,URBANO,COMPLETA,17541,PENSILVANIA,N,55,58,3,59,77,3,45,38,2,53,66,2,53,63,A1,265,62,2,50.91088351,NSE2,PUBLICAR,NO
419568,TI,COLOMBIA,F,07/01/2001,SB11201820614400,COLOMBIA,No,Estrato 3,5 a 6,Si,No,No,0 A 10 LIBROS,-,30 minutos o menos,84764,INSTITUCION EDUCATIVA COLOMBIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA COLOMBIA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17873,VILLAMARÍA,N,59,71,3,48,43,2,44,32,2,30,4,1,38,12,A-,223,33,2,45.99550805,NSE2,PUBLICAR,NO
419692,TI,COLOMBIA,F,06/03/2002,SB11201820039435,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,Si,26 A 100 LIBROS,Más de 2 horas,Entre 1 y 3 horas,666586,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL,S,URBANO,UNICA,17050,ARANZAZU,N,57,66,3,56,69,3,56,72,3,57,75,3,50,50,A1,280,72,2,48.20746442,NSE2,PUBLICAR,NO
419735,TI,COLOMBIA,F,09/03/2002,SB11201820166207,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,125641,INSTITUCION EDUCATIVA SANTA LUISA DE MARILLAC,FEMENINO,OFICIAL,A,-,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SANTA LUISA DE MARILLAC - SEDE PRINCIPAL,S,URBANO,MAÑANA,17873,VILLAMARÍA,N,44,22,2,50,49,2,55,70,2,34,12,1,47,42,A-,229,37,3,50.95090771,NSE2,PUBLICAR,NO
419800,CC,COLOMBIA,F,03/08/1999,SB11201820110404,COLOMBIA,No,Estrato 1,3 a 4,No,No,No,-,No leo por entretenimiento,30 minutos o menos,6882,INSTITUCION EDUCATIVA SAN PABLO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SAN PABLO - SEDE PRINCIPAL,S,URBANO,COMPLETA,17867,VICTORIA,N,48,34,2,36,13,2,49,50,2,33,9,1,42,25,A-,208,22,2,27.9511667,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
419806,CC,COLOMBIA,F,15/06/1999,SB11201820495204,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,709964,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA - SEDE PRINCIPAL,S,URBANO,SABATINA,17653,SALAMINA,N,43,20,2,43,28,2,43,29,2,34,12,1,37,10,A-,202,18,2,37.59195431,NSE1,PUBLICAR,NO
419818,TI,COLOMBIA,F,22/06/2000,SB11201820553734,COLOMBIA,No,Estrato 2,3 a 4,No,Si,Si,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,158196,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA - SEDE PRINCIPAL,S,URBANO,SABATINA,17524,PALESTINA,N,33,2,1,35,12,1,36,10,1,40,29,1,41,20,A-,182,8,2,41.44987481,NSE2,PUBLICAR,NO
419869,CC,COLOMBIA,F,15/01/1994,SB11201820559410,COLOMBIA,Si,Estrato 1,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,No Navega Internet,6874,INSTITUCION EDUCATIVA SUPIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUTO NOCTURNO SUPIA,N,URBANO,NOCHE,17777,SUPÍA,N,51,44,3,51,53,3,43,29,2,44,41,2,38,14,A-,233,39,2,38.57292923,NSE1,PUBLICAR,NO
419908,TI,COLOMBIA,F,05/09/2002,SB11201820329925,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,120709,COLEGIO GABRIELA MISTRAL,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COLEGIO GABRIELA MISTRAL,S,URBANO,TARDE,17380,LA DORADA,N,53,51,3,41,24,2,38,15,1,40,29,1,36,8,A-,212,25,3,56.56841471,NSE3,PUBLICAR,NO
419999,TI,COLOMBIA,F,29/01/2003,SB11201820071251,COLOMBIA,No,Estrato 2,5 a 6,No,No,No,0 A 10 LIBROS,30 minutos o menos,No Navega Internet,60491,INSTITUCION EDUCATIVA LAS COLES,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA LAS COLES - SEDE PRINCIPAL,S,RURAL,COMPLETA,17513,PÁCORA,N,71,97,4,70,96,3,64,92,3,70,97,3,56,71,A1,339,96,2,32.796489,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
420063,TI,COLOMBIA,M,15/01/2002,SB11201820162393,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,48280,INSTITUCIÓN EDUCATIVA SAN PIO X,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN PIO X,S,URBANO,MAÑANA,17001,MANIZALES,N,66,89,4,59,76,3,61,86,3,56,73,3,55,68,A1,300,82,3,64.08959566,NSE4,PUBLICAR,NO
420218,CC,COLOMBIA,F,11/06/2000,SB11201820085504,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,6684,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION - SEDE PRINCIPAL,S,URBANO,COMPLETA,17541,PENSILVANIA,N,58,69,3,45,34,2,54,65,2,45,43,2,34,6,A-,246,49,2,37.45824677,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
420301,CC,COLOMBIA,F,22/06/2000,SB11201820540598,COLOMBIA,No,Estrato 2,7 a 8,No,Si,No,-,No leo por entretenimiento,30 minutos o menos,6288,INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,LICEO NOCTURNO ANSERMA,N,URBANO,NOCHE,17042,ANSERMA,N,42,16,2,47,42,2,40,19,1,30,4,1,44,31,A-,200,17,2,46.97721862,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
420380,TI,COLOMBIA,F,19/09/2001,SB11201820362655,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,81562,INSTITUCION EDUCATIVA ALEGRIAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA ALEGRIAS - SEDE PRINCIPAL,S,RURAL,COMPLETA,17050,ARANZAZU,N,67,92,4,57,70,3,62,87,3,67,94,3,52,58,A1,312,88,1,36.4702227,NSE1,PUBLICAR,NO
420391,CC,COLOMBIA,F,03/08/1998,SB11201820389340,COLOMBIA,No,Estrato 1,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,662361,INSTITUCIÓN EDUCATIVA ANDRES  BELLO,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA ANDRES  BELLO,S,URBANO,SABATINA,17001,MANIZALES,N,36,5,2,38,16,2,34,7,1,33,10,1,46,38,A-,180,7,2,37.94136591,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
420411,TI,COLOMBIA,F,12/12/2000,SB11201820175178,COLOMBIA,No,-,-,-,-,-,-,-,-,116996,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,S,URBANO,MAÑANA,17001,MANIZALES,N,35,4,1,24,1,1,29,1,1,33,10,1,39,17,A-,155,1,2,NA,-,PUBLICAR,GENERACION E - GRATUIDAD
420427,CC,COLOMBIA,F,15/12/1998,SB11201820585330,COLOMBIA,No,Estrato 2,3 a 4,No,No,No,26 A 100 LIBROS,No leo por entretenimiento,Más de 3 horas,167437,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA - SEDE PRINCIPAL,S,URBANO,SABATINA,17042,ANSERMA,N,38,8,2,33,9,1,36,10,1,40,27,1,33,4,A-,182,8,2,32.98844927,NSE1,PUBLICAR,NO
420428,TI,COLOMBIA,F,20/10/2002,SB11201820085713,COLOMBIA,No,Estrato 1,3 a 4,No,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,6684,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESC. NORMAL SUPERIOR DE LA PRESENTACION - SEDE PRINCIPAL,S,URBANO,COMPLETA,17541,PENSILVANIA,N,57,66,3,58,72,3,56,72,3,63,87,3,55,69,A1,291,78,2,34.28861825,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
420447,TI,COLOMBIA,F,16/03/1999,SB11201820176932,COLOMBIA,No,Estrato 3,9 o más,Si,Si,No,MÁS DE 100 LIBROS,No leo por entretenimiento,Más de 3 horas,225482,INSTITUCIÓN  EDUCATIVA ISABEL LA CATOLICA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA ISABEL LA CATOLICA,S,URBANO,UNICA,17001,MANIZALES,N,49,39,2,42,25,2,42,27,2,38,23,1,44,29,A-,214,26,2,53.57064371,NSE3,PUBLICAR,NO
420474,CC,COLOMBIA,F,13/03/1994,SB11201820060725,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,Si,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,168500,COL. LOS LIBERTADORES,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COL. LOS LIBERTADORES,S,URBANO,SABATINA,17001,MANIZALES,N,46,27,2,42,27,2,39,17,1,33,10,1,45,32,A-,202,18,3,43.06045361,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
420476,TI,COLOMBIA,F,21/09/2001,SB11201820614890,COLOMBIA,No,Estrato 1,5 a 6,No,Si,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,139162,INSTITUCION EDUCATIVA EL MADROÑO,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA EL MADROÑO - SEDE PRINCIPAL,S,RURAL,MAÑANA,17088,BELALCÁZAR,N,50,41,2,47,40,2,48,47,2,41,31,2,50,52,A1,234,40,2,33.08658374,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
420636,CC,COLOMBIA,F,01/01/1985,SB11201820436358,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,42374,INSTITUCIÓN EDUCATIVA LEON DE GREIFF,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LEON DE GREIFF,S,URBANO,NOCHE,17001,MANIZALES,N,41,14,2,55,64,3,46,40,2,44,40,2,52,59,A1,235,41,2,44.50474015,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
420642,CC,COLOMBIA,F,13/12/1999,SB11201820289401,COLOMBIA,No,Estrato 2,3 a 4,Si,No,Si,26 A 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,71498,INSTITUCIÓN EDUCATIVA LA LINDA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LA LINDA,S,URBANO,MAÑANA,17001,MANIZALES,N,52,50,3,38,16,2,45,37,2,38,21,1,47,40,A-,218,29,2,54.29066609,NSE3,PUBLICAR,NO
420684,TI,COLOMBIA,F,14/11/1999,SB11201820299986,COLOMBIA,No,Estrato 1,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Más de 3 horas,39065,INSTITUCION EDUCATIVA PIO XII,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA PIO XII - SEDE PRINCIPAL,S,RURAL,COMPLETA,17873,VILLAMARÍA,N,52,50,3,44,32,2,47,42,2,46,48,2,57,74,A1,240,45,2,43.0911113,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
420762,TI,COLOMBIA,F,16/10/2001,SB11201820208092,COLOMBIA,No,Estrato 1,1 a 2,No,No,Si,0 A 10 LIBROS,Entre 1 y 2 horas,Entre 1 y 3 horas,666628,INSTITUCION EDUCATIVA MONSEÑOR ANTONIO JOSE GIRALDO GOMEZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA MONSEÑOR ANTONIO JOSE GIRALDO GOMEZ - SEDE PRINCIPAL,S,URBANO,UNICA,17388,LA MERCED,N,36,5,2,39,18,2,39,17,1,36,18,1,48,44,A1,192,12,2,38.04810393,NSE1,PUBLICAR,NO
420802,TI,COLOMBIA,F,26/12/2001,SB11201820313659,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,24844,INSTITUCIÓN EDUCATIVA ARANJUEZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA ARANJUEZ,S,URBANO,MAÑANA,17001,MANIZALES,N,56,64,3,61,81,3,53,64,2,44,40,2,61,83,A2,270,66,3,55.41776277,NSE3,PUBLICAR,NO
420966,TI,COLOMBIA,F,31/05/2001,SB11201820588899,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,26 A 100 LIBROS,No leo por entretenimiento,Más de 3 horas,6742,INSTITUCION EDUCATIVA LOS FUNDADORES,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LOS FUNDADORES - SEDE PRINCIPAL,S,URBANO,MAÑANA,17614,RIOSUCIO,N,45,25,2,41,24,2,44,33,2,46,45,2,51,55,A1,223,32,2,40.5118981,NSE1,PUBLICAR,NO
420984,TI,COLOMBIA,F,16/09/2000,SB11201820244051,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Más de 3 horas,96735,INSTITUCION EDUCATIVA LA ASUNCION,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LA ASUNCION,S,URBANO,MAÑANA,17001,MANIZALES,N,53,52,3,40,21,2,45,37,2,52,62,2,51,56,A1,239,44,3,56.01439711,NSE3,PUBLICAR,NO
421088,TI,COLOMBIA,F,24/04/2001,SB11201820124057,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,38695,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,55,60,3,52,55,3,56,73,3,58,78,3,53,62,A1,275,69,2,58.39812618,NSE3,PUBLICAR,NO
421219,CC,COLOMBIA,F,15/02/1996,SB11201820069994,COLOMBIA,No,Estrato 1,3 a 4,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,No Navega Internet,661322,INSTITUCIÓN EDUCATIVA RURAL LA CABAÑA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA RURAL LA CABAÑA,S,RURAL,UNICA,17001,MANIZALES,N,52,49,3,45,35,2,41,24,2,40,28,1,41,20,A-,221,31,2,37.45047083,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
421223,CC,COLOMBIA,F,12/06/1999,SB11201820417001,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,0 A 10 LIBROS,Entre 1 y 2 horas,Entre 1 y 3 horas,225177,INSTITUCION EDUCATIVA SIETE DE AGOSTO,MIXTO,OFICIAL,A,-,ACADÉMICO,COLEGIO SIETE DE AGOSTO,S,URBANO,UNICA,17001,MANIZALES,N,32,2,1,45,35,2,51,57,2,44,41,2,56,72,A1,220,30,2,45.360567,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
421311,TI,COLOMBIA,F,21/12/2001,SB11201820277917,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,Más de 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,52,49,3,56,69,3,54,66,2,51,59,2,53,61,A1,266,63,3,60.93566339,NSE3,PUBLICAR,NO
421380,TI,COLOMBIA,F,20/11/2002,SB11201820021197,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,27136,INSTITUCIÓN EDUCATIVA MALABAR,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA MALABAR,S,URBANO,MAÑANA,17001,MANIZALES,N,47,32,2,49,48,2,46,39,2,42,36,2,45,32,A-,230,37,2,57.42049371,NSE3,PUBLICAR,NO
421382,TI,COLOMBIA,F,20/09/2001,SB11201820390669,COLOMBIA,No,Estrato 3,3 a 4,Si,No,No,11 A 25 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,6130,INSTITUCION EDUCATIVA UNIVERSITARIO DE CALDAS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA INSTITUTO UNIVERSITARIO DE CALDAS,S,URBANO,MAÑANA,17001,MANIZALES,N,58,70,3,58,74,3,59,81,3,61,85,3,71,94,B1,300,82,3,48.12664925,NSE2,PUBLICAR,NO
421412,TI,COLOMBIA,F,17/10/2000,SB11201820016377,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,71563,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,MAÑANA,17777,SUPÍA,N,41,13,2,43,30,2,41,22,2,33,10,1,44,31,A-,199,16,2,44.02010693,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
